# Measurements: 2016-09-02T16:39:02.947
# size	time(nanoseconds)
0	4011008
10	42378
20	49214
30	88534
40	107147
50	212442
60	141292
70	128493
80	56591
90	130129
100	79611
110	246888
120	162528
130	163812
140	199636
150	156469
160	273761
170	214190
180	238644
190	246065
200	390732
210	325552
220	354706
230	416282
240	382029
250	526266
260	515024
270	516965
280	490064
290	553051
300	731991
310	573860
320	712304
330	546734
340	777126
350	709428
360	715689
370	763211
380	896254
390	899638
400	924079
410	1127769
420	1635566
430	1135950
440	1008272
450	1233281
460	1122306
470	1414733
480	1194044
490	1170642
500	1484423
510	2149198
520	2318990
530	2657767
540	1485690
550	1978646
560	2541357
570	2695262
580	2805261
590	1799166
600	1904593
610	2389926
620	2442288
630	2782213
640	2388389
650	2504642
660	2701993
670	2660754
680	4906518
690	1635877
700	1783997
710	1963755
720	1700038
730	2143979
740	1966496
750	1760443
760	2241695
770	2549960
780	2188330
790	2082517
800	1978054
810	2165471
820	2316525
830	2350009
840	2804537
850	2371150
860	2502565
870	2540064
880	2561774
890	2630466
900	2508664
910	2324498
920	2945624
930	2729451
940	2741141
950	2784424
960	2540384
970	3229027
980	2990588
990	2805021
