# Measurements: 2016-09-02T17:30:55.911
# size	time(nanoseconds)
1	73848
102	214147
203	616593
304	576833
405	807489
506	1032960
607	1480289
708	1618710
809	1849923
910	2502473
1011	3268034
1112	4985290
1213	5273026
1314	6415285
1415	5092636
1516	6294492
1617	9829742
1718	13166808
1819	7858413
1920	9383516
2021	2084607
2122	2924420
2223	3301824
2324	2794916
2425	2730431
2526	3182218
2627	3354878
2728	4160537
2829	4790269
2930	3315251
3031	5180580
3132	6088579
3233	6238661
3334	5909147
3435	5488598
3536	6403795
3637	6977727
3738	5642628
3839	6552922
3940	6882411
4041	8411942
4142	10302903
4243	13580640
4344	9313202
4445	9151034
4546	8401358
4647	9401021
4748	9518585
4849	9489200
4950	10806204
5051	11433787
5152	11243276
5253	12664836
5354	12978060
5455	12978283
5556	13041019
5657	14177893
5758	15040710
5859	18916337
5960	15349432
6061	16907579
6162	18823305
6263	19007864
6364	20547929
6465	19655509
6566	19733429
6667	19457967
6768	21952390
6869	24001377
6970	22710455
7071	22075784
7172	26057299
7273	25652218
7374	25204294
7475	25634867
7576	26905794
7677	24476995
7778	27845354
7879	32491013
7980	30102506
8081	33182744
8182	31498276
8283	42078410
8384	30206110
8485	32926429
8586	42303166
8687	35110041
8788	36641038
8889	37048337
8990	37163670
9091	38335362
9192	42069058
9293	49626052
9394	54234388
9495	50355089
9596	51227148
9697	48904013
9798	48788884
9899	50045048
10000	45625812
