# Measurements: 2016-09-02T17:30:57.972
# size	time(nanoseconds)
1	80251
102	141089
203	437186
304	355002
405	704900
506	1676146
607	554821
708	426030
809	495319
910	610399
1011	627400
1112	10753043
1213	1108975
1314	1139509
1415	1106231
1516	1255139
1617	1429438
1718	2011810
1819	1646404
1920	1685547
2021	2058160
2122	2118470
2223	2294297
2324	2533641
2425	2658624
2526	2813711
2627	2788089
2728	2864101
2829	3022442
2930	4213886
3031	3785045
3132	3922622
3233	4402508
3334	4695010
3435	5252572
3536	5081218
3637	5232607
3738	8278899
3839	10874380
3940	9871755
4041	7686870
4142	7622042
4243	10184047
4344	8548116
4445	9450700
4546	8451376
4647	10998943
4748	12057274
4849	10645124
4950	11065720
5051	11796644
5152	12260571
5253	12038801
5354	12456555
5455	13752403
5556	14653342
5657	14882522
5758	15939248
5859	18887176
5960	16059200
6061	17062762
6162	17530941
6263	17865069
6364	19690094
6465	19060941
6566	20787167
6667	21287173
6768	22017249
6869	20283537
6970	26719882
7071	25288781
7172	27126021
7273	28188065
7374	29475325
7475	26997439
7576	29648921
7677	27792991
7778	29600052
7879	30664163
7980	31107251
8081	30016106
8182	31434536
8283	36491675
8384	32049942
8485	35531088
8586	36690967
8687	42902084
8788	37809247
8889	44101752
8990	40517108
9091	40149472
9192	41504925
9293	44187548
9394	41516745
9495	41152489
9596	43628842
9697	49059469
9798	51827169
9899	57808861
10000	47965637
