# Measurements: 2016-09-02T17:30:55.403
# size	time(nanoseconds)
1	158862
102	268356
203	201902
304	201965
405	336565
506	128149
607	139481
708	184341
809	202269
910	328261
1011	221704
1112	609679
1213	465197
1314	734936
1415	541668
1516	732998
1617	729462
1718	768293
1819	1512033
1920	2375811
2021	779162
2122	760207
2223	698658
2324	588325
2425	1024471
2526	898985
2627	964287
2728	547766
2829	1636941
2930	775197
3031	614027
3132	688923
3233	751566
3334	593936
3435	548197
3536	1321664
3637	943816
3738	1282640
3839	1521944
3940	1355043
4041	1031760
4142	1226914
4243	1348455
4344	823393
4445	977627
4546	890977
4647	826113
4748	918622
4849	803553
4950	782871
5051	941710
5152	951403
5253	1075900
5354	986241
5455	926073
5556	1036520
5657	1008291
5758	1129764
5859	993225
5960	1373630
6061	1334214
6162	1191829
6263	1552600
6364	1577569
6465	1637276
6566	1813244
6667	1792671
6768	1470555
6869	1448127
6970	2218657
7071	1850454
7172	1719322
7273	1373664
7374	1336164
7475	1443869
7576	1591658
7677	1525030
7778	1255537
7879	1593147
7980	1974387
8081	2004302
8182	1978684
8283	1873065
8384	1874263
8485	2026881
8586	1965938
8687	1649515
8788	1843921
8889	1925270
8990	1926424
9091	1723824
9192	1813649
9293	2052622
9394	1832079
9495	2269806
9596	1933940
9697	1960143
9798	2056500
9899	2264646
10000	2066109
