# Measurements: 2016-09-02T17:31:00.093
# size	time(nanoseconds)
1	502485
102	172396
203	193322
304	375984
405	433709
506	490347
607	707978
708	780644
809	692858
910	744716
1011	912447
1112	1016266
1213	1117764
1314	1008510
1415	849717
1516	836372
1617	1096761
1718	932904
1819	1184699
1920	1111735
2021	2005452
2122	1963422
2223	1750973
2324	2016866
2425	2045399
2526	2137329
2627	2373414
2728	2991570
2829	2756962
2930	4146628
3031	3296397
3132	3481046
3233	4043183
3334	3827806
3435	4399520
3536	4528129
3637	4110770
3738	5877278
3839	3892373
3940	5023090
4041	5532047
4142	3904944
4243	4201058
4344	3907119
4445	3696104
4546	3620036
4647	3939080
4748	4021791
4849	4851641
4950	4307462
5051	4166692
5152	7453178
5253	6847175
5354	4651629
5455	4948796
5556	5191430
5657	5023848
5758	8775469
5859	10740168
5960	9336883
6061	6953053
6162	6406784
6263	9067266
6364	7287817
6465	8051677
6566	7341494
6667	7880604
6768	8069646
6869	9172190
6970	9762470
7071	15656445
7172	18589523
7273	9412693
7374	9098440
7475	9417925
7576	10498058
7677	7425152
7778	8006935
7879	8770879
7980	7698437
8081	9413283
8182	7574752
8283	9145835
8384	7055535
8485	7269642
8586	7406645
8687	5927612
8788	6554467
8889	8222181
8990	10939382
9091	11148137
9192	9530003
9293	7270392
9394	6687295
9495	6445782
9596	9563246
9697	6961823
9798	6756825
9899	6229630
10000	7163531
