# Measurements: 2016-09-02T17:30:59.830
# size	time(nanoseconds)
1	453879
102	500836
203	509301
304	609135
405	488227
506	366803
607	277294
708	367764
809	349786
910	414185
1011	496949
1112	560383
1213	528754
1314	550155
1415	609052
1516	681463
1617	831179
1718	817991
1819	791298
1920	872537
2021	935639
2122	944688
2223	939597
2324	1202864
2425	1140371
2526	1203404
2627	1169257
2728	1216396
2829	977019
2930	1039447
3031	1067566
3132	1110470
3233	1189664
3334	1220269
3435	1179894
3536	1273692
3637	1192459
3738	1466000
3839	1369058
3940	1506284
4041	1454517
4142	1233236
4243	1352637
4344	1273932
4445	1331670
4546	1538876
4647	1383700
4748	1413864
4849	1506691
4950	1508396
5051	1570381
5152	1632022
5253	1579441
5354	1646055
5455	1693414
5556	1676353
5657	1772189
5758	1751411
5859	1835585
5960	1868856
6061	1996280
6162	1922968
6263	1970954
6364	1956871
6465	2103186
6566	2109285
6667	2183794
6768	2088708
6869	2278757
6970	2249739
7071	2352300
7172	2329075
7273	2405557
7374	2332325
7475	2484782
7576	2949093
7677	2623736
7778	2735811
7879	2751781
7980	2656849
8081	2639060
8182	2830726
8283	2733116
8384	2668322
8485	2740053
8586	2990905
8687	2874342
8788	3117851
8889	2858814
8990	2936079
9091	3081729
9192	3131843
9293	3388766
9394	3273422
9495	3178461
9596	3196703
9697	3216765
9798	3244080
9899	3257446
10000	3316197
